"Name","IAUname","RA","DEC","Type","Redshift","Spectra_No"
"PTF09a","2009av","215.982747","35.184821","SN Ia","0.0555","1"
"PTF09aa","2009ci","173.336234","-9.41118","SN Ia","0.12","1"
"PTF09ab","2009ck","140.565681","45.747841","SN Ia","0.175","1"
"PTF09ac","2009co","186.147399","47.237755","SN Ia","0.161","1"
"PTF09ad","2009cn","165.777761","50.159969","SN Ia","0.201","1"
"PTF09ads",NULL,"219.964058","13.76535","SN Ia","0.06","1"
"PTF09agm",NULL,"259.140027","43.566566","SN Ia","0.07","1"
"PTF09agy",NULL,"253.031008","43.298055","SN Ia","0.057","1"
"PTF09ahf",NULL,"258.007293","20.502289","SN Ia","0.08","1"
"PTF09aj","2009cj","146.37703","6.540386","SN Ia","0.09","1"
"PTF09akb",NULL,"245.578255","51.146558","SN Ia","0.055","5"
"PTF09akt","2009hl","262.792007","36.427684","SN Ia","0.05","3"
"PTF09alu",NULL,"214.573979","53.792253","SN Ia","0.071","1"
"PTF09aly",NULL,"234.637804","13.344254","SN Ia","0.049","1"
"PTF09amm",NULL,"230.87221","37.878798","SN Ia","0.07","1"
"PTF09aro",NULL,"227.978785","48.669406","SN Ia","0.085","1"
"PTF09atw",NULL,"252.760192","26.604571","SN Ia","0.053","1"
"PTF09aus",NULL,"225.230519","-0.192536","SN Ia","0.04","0"
"PTF09av","2009cp","138.803217","19.096335","SN Ia","0.22","1"
"PTF09awa","2009en","221.593804","13.024031","SN Ia",NULL,"2"
"PTF09awd",NULL,"221.107776","12.107269","SN Ia","0.153","1"
"PTF09aws",NULL,"227.622047","20.92222","SN Ia","0.08","0"
"PTF09awt",NULL,"236.761734","40.689086","SN Ia","0.185","1"
"PTF09awx",NULL,"207.18712","37.434691","SN Ia","0.1265","5"
"PTF09axg",NULL,"230.879191","14.182134","SN Ia","0.18","0"
"PTF09azf","2009fv","247.433446","40.811411","SN Ia","0.0293","3"
"PTF09azm",NULL,"231.963728","41.143246","SN Ia","0.2","0"
"PTF09azu",NULL,"199.688118","40.735395","SN Ia","0.114","1"
"PTF09azv",NULL,"223.089145","46.730572","SN Ia","0.13","1"
"PTF09bad",NULL,"244.003121","56.346632","SN Ia","0.1385","5"
"PTF09bai",NULL,"230.098128","26.424681","SN Ia","0.18","1"
"PTF09bak",NULL,"243.921029","52.251257","SN Ia","0.03","0"
"PTF09bam",NULL,"195.945029","65.611079","SN Ia","0.15","1"
"PTF09bau",NULL,"199.696585","60.534408","SN Ia","0.07","1"
"PTF09bc","2009ch","162.785707","74.08981","SN Ia","0.17","1"
"PTF09bck",NULL,"209.18402","24.446833","SN Ia","0.1","1"
"PTF09bdb",NULL,"317.752784","-14.026394","SN Ia","0.03","1"
"PTF09bh","2009cx","186.163657","8.933169","SN Ia","0.175","1"
"PTF09bha",NULL,"337.150427","34.878257","SN Ia","0.18","0"
"PTF09biq","2009hi","350.984363","16.774949","SN Ia","0.04","5"
"PTF09bj","2009cr","169.526697","12.895411","SN Ia","0.144","1"
"PTF09bjs",NULL,"238.886983","53.033824","SN Ia","0.066","0"
"PTF09by","2009cu","202.303018","46.724387","SN Ia","0.1","1"
"PTF09c","2009an","185.6975","65.85125","SN Ia","0.009373","3"
"PTF09cbu",NULL,"357.653034","26.041857","SN Ia","0.057","1"
"PTF09cex",NULL,"356.224141","-9.691044","SN Ia","0.07","1"
"PTF09cfx",NULL,"316.812396","-22.524528","SN Ia","0.09","0"
"PTF09csj",NULL,"243.226206","34.279076","SN Ia","0.09","1"
"PTF09csl",NULL,"264.629848","36.753849","SN Ia","0.14","1"
"PTF09csn",NULL,"246.726941","25.979242","SN Ia","0.11","2"
"PTF09cug",NULL,"245.546757","15.868488","SN Ia","0.16","1"
"PTF09ddw",NULL,"351.886446","27.063345","SN Ia","0.122","1"
"PTF09dgr",NULL,"244.280682","38.972083","SN Ia","0.14","1"
"PTF09dh","2009dr","221.175308","49.729149","SN Ia","0.199","6"
"PTF09dhu",NULL,"347.150227","12.373578","SN Ia","0.15","1"
"PTF09dhx",NULL,"336.595192","10.826181","SN Ia","0.087","1"
"PTF09dib",NULL,"245.387087","11.612329","SN Ia","0.1","1"
"PTF09dic",NULL,"353.789683","18.934008","SN Ia","0.07","1"
"PTF09dih",NULL,"227.579318","43.72831","SN Ia","0.119","1"
"PTF09dip",NULL,"219.537472","70.182026","SN Ia","0.137","1"
"PTF09djc",NULL,"266.732903","59.201349","SN Ia","0.03","2"
"PTF09dkr",NULL,"349.488451","11.30401","SN Ia","0.11","1"
"PTF09dlc",NULL,"326.625436","6.419234","SN Ia","0.068","11"
"PTF09dmk",NULL,"241.620655","18.267895","SN Ia","0.039","0"
"PTF09dmn",NULL,"340.489648","7.362159","SN Ia","0.13","1"
"PTF09dnl","2009jb","260.924126","30.497098","SN Ia","0.019","14"
"PTF09dnp",NULL,"229.851529","49.49898","SN Ia","0.037","11"
"PTF09dnq",NULL,"325.661708","2.7176","SN Ia","0.12","1"
"PTF09dpp",NULL,"255.564882","41.467368","SN Ia","0.168","1"
"PTF09dpy",NULL,"350.614123","24.842774","SN Ia","0.06","1"
"PTF09dqt",NULL,"217.120119","61.160352","SN Ia","0.113","1"
"PTF09ds","2009ey","212.319493","53.103563","SN Ia","0.179","1"
"PTF09dsr",NULL,"220.783288","54.611567","SN Ia","0.07","2"
"PTF09dsw",NULL,"220.314398","23.979383","SN Ia","0.0785","1"
"PTF09dsy","2009im","53.3421","-4.998677","SN Ia","0.0131","1"
"PTF09dsz",NULL,"222.119275","44.245197","SN Ia","0.18","1"
"PTF09dxo",NULL,"30.447754","-7.093836","SN Ia","0.052","1"
"PTF09dxw",NULL,"356.211748","27.625916","SN Ia","0.0299","1"
"PTF09dyc",NULL,"335.573981","2.740227","SN Ia","0.062","2"
"PTF09dyg",NULL,"331.86804","17.675685","SN Ia","0.127","1"
"PTF09dyh",NULL,"359.55953","15.807964","SN Ia","0.167","1"
"PTF09dyi",NULL,"340.9282","7.439891","SN Ia","0.196","1"
"PTF09dym",NULL,"359.354377","25.393445","SN Ia","0.107","1"
"PTF09dyp",NULL,"331.820195","5.040377","SN Ia","0.144","1"
"PTF09dyw",NULL,"328.832439","15.066527","SN Ia","0.21","1"
"PTF09dza",NULL,"315.881501","-4.342605","SN Ia","0.084","1"
"PTF09dzq",NULL,"70.117739","-5.295867","SN Ia","0.091","1"
"PTF09dzu",NULL,"261.340421","60.170864","SN Ia","0.133","1"
"PTF09dzy",NULL,"34.653382","-11.644685","SN Ia","0.21","1"
"PTF09e","2009bd","138.64173","51.175273","SN Ia","0.149","1"
"PTF09eag",NULL,"325.874685","6.204609","SN Ia","0.23","1"
"PTF09ec","2009ez","198.22704","43.476641","SN Ia","0.091","1"
"PTF09ecx",NULL,"345.784582","14.724815","SN Ia","0.15","1"
"PTF09edr",NULL,"2.929207","30.238631","SN Ia","0.085","1"
"PTF09ege",NULL,"263.956297","51.100688","SN Ia","0.139","1"
"PTF09ego",NULL,"261.604825","62.972803","SN Iax[02cx-like]","0.104","2"
"PTF09eiy",NULL,"28.569499","-15.08377","SN Ia","0.035","7"
"PTF09eoi",NULL,"351.05362","12.778504","SN Ia","0.042","5"
"PTF09eop",NULL,"234.893708","53.05119","SN Ia","0.07","1"
"PTF09eov",NULL,"325.341472","-2.337528","SN Ia","0.17","1"
"PTF09epo",NULL,"48.702515","-12.862248","SN Ia","0.015","1"
"PTF09epz",NULL,"29.438923","-15.076082","SN Ia","0.17","1"
"PTF09eqc",NULL,"70.228672","-8.372243","SN Ia","0.016","2"
"PTF09euz",NULL,"359.703232","26.722033","SN Ia","0.122","2"
"PTF09exw",NULL,"259.153124","58.770358","SN Ia","0.115","0"
"PTF09f","2009be","175.475121","10.429491","SN Ia","0.153","1"
"PTF09fb","2009fa","251.678424","75.257944","SN Ia","0.042","1"
"PTF09fet",NULL,"259.242984","38.9922","SN Ia","0.09","1"
"PTF09fey",NULL,"255.760485","67.450011","SN Ia","0.13","1"
"PTF09fgg",NULL,"264.039312","49.296767","SN Ia","0.08","1"
"PTF09fhc",NULL,"316.050564","-4.281615","SN Ia","0.17","1"
"PTF09fim",NULL,"261.400344","67.063906","SN Ia","0.08","1"
"PTF09fop",NULL,"359.4744","30.472548","SN Ia","0.1","2"
"PTF09fou",NULL,"351.835662","6.864122","SN Ia","0.195","0"
"PTF09fov",NULL,"64.955615","28.861207","SN Ia","0.052","6"
"PTF09fow",NULL,"330.717103","-21.82567","SN Ia","0.1","1"
"PTF09fox",NULL,"350.19991","32.502277","SN Ia","0.0718","4"
"PTF09foz",NULL,"10.54888","-9.88131","SN Ia","0.05","5"
"PTF09fpl",NULL,"347.727571","18.048072","SN Ia","0.08","1"
"PTF09fpy",NULL,"345.205225","16.340039","SN Ia","0.156","1"
"PTF09fqj",NULL,"21.837927","4.708729","SN Ia","0.08","1"
"PTF09fqk",NULL,"349.900476","7.310815","SN Ia","0.13","1"
"PTF09fqn",NULL,"21.17004","34.31939","SN Ia","0.15","2"
"PTF09fr","2009fb","222.500508","44.918276","SN Ia","0.08","1"
"PTF09fs",NULL,"264.184463","53.670012","SN Ia","0.109","4"
"PTF09fu","2009ff","248.29548","53.091889","SN Ia","0.17","1"
"PTF09fvl",NULL,"48.170937","41.253155","SN Ia","0.13","1"
"PTF09fzy",NULL,"19.402295","3.40585","SN Ia","0.12","1"
"PTF09gce","2009lg","354.707935","28.264941","SN Ia","0.055","2"
"PTF09gck","2009kk","57.434622","-3.264654","SN Ia","0.013","3"
"PTF09gdy","2009mh","175.982434","10.781762","SN Ia","0.02","2"
"PTF09ggb",NULL,"337.701231","14.032707","SN Ia","0.077","1"
"PTF09gjf",NULL,"29.144115","31.447022","SN Ia","0.05","1"
"PTF09gjj",NULL,"342.595533","5.324945","SN Ia","0.06","1"
"PTF09gm","2009fc","231.95246","41.592804","SN Ia","0.082","1"
"PTF09gmg",NULL,"21.610675","-15.765044","SN Ia","0.093","3"
"PTF09gn","2009fd","232.295653","40.794123","SN Ia","0.139","1"
"PTF09gnd",NULL,"342.022075","15.516979","SN Ia","0.1","1"
"PTF09gnm",NULL,"41.881548","-0.052352","SN Ia","0.0855","3"
"PTF09gon",NULL,"340.687629","5.15803","SN Ia","0.07","1"
"PTF09gpu",NULL,"176.352927","68.951986","SN Ia","0.08","1"
"PTF09gqh",NULL,"11.688759","-25.728454","SN Ia","0.1","1"
"PTF09gqo",NULL,"346.695213","8.237617","SN Ia","0.039","1"
"PTF09gqu",NULL,"139.928756","33.810731","SN Ia","0.0226","3"
"PTF09gul",NULL,"22.099583","33.861194","SN Ia","0.072","2"
"PTF09gvo",NULL,"6.016749","17.257436","SN Ia","0.139","2"
"PTF09gxh",NULL,"47.734254","-9.752596","SN Ia","0.15","2"
"PTF09gzj",NULL,"193.755917","53.229196","SN Ia","0.053","3"
"PTF09h","2009bc","120.196928","46.948476","SN Ia","0.121","1"
"PTF09har",NULL,"3.417641","18.378462","SN Ia","0.168","1"
"PTF09hfl",NULL,"53.441579","-3.375105","SN Ia","0.184","2"
"PTF09hhv",NULL,"116.419669","28.296366","SN Ia","0.036","1"
"PTF09hnr",NULL,"356.446644","-29.527121","SN Ia","0.037","1"
"PTF09hpl",NULL,"20.371605","0.108657","SN Ia","0.08","1"
"PTF09hpq","2009ly","10.30292","-9.14806","SN Ia","0.053","1"
"PTF09hql",NULL,"28.872195","13.230737","SN Ia","0.05","1"
"PTF09hqp",NULL,"47.629136","35.084744","SN Ia","0.023","1"
"PTF09huz",NULL,"23.116179","29.609574","SN Ia","0.13","1"
"PTF09hvs",NULL,"11.395343","40.676066","SN Ia","0.12","1"
"PTF09hxw",NULL,"41.505724","33.383237","SN Ia","0.101","1"
"PTF09iaf",NULL,"215.091012","35.233558","SN Ia","0.064","0"
"PTF09iag",NULL,"210.659489","5.747455","SN Ia","0.075","1"
"PTF09ib","2009fh","236.161536","45.797542","SN Ia","0.122","1"
"PTF09idb",NULL,"198.534935","38.276745","SN Ia","0.05","1"
"PTF09idu",NULL,"169.828158","53.617646","SN Ia","0.1067","1"
"PTF09ifh",NULL,"62.64605","27.39214","SN Ia","0.08","1"
"PTF09iga",NULL,"117.26689","32.830588","SN Ia","0.109","1"
"PTF09igt",NULL,"187.279651","5.154288","SN Ia","0.19","1"
"PTF09ilp","2009mz","210.853166","-6.058366","SN Ia","0.008579","5"
"PTF09img",NULL,"124.245047","20.85409","SN Ia","0.12","1"
"PTF09isn",NULL,"188.588792","8.690208","SN Ia","0.101","1"
"PTF09itz",NULL,"177.026887","58.666803","SN Ia","0.115","1"
"PTF09iuz",NULL,"25.05183","29.686894","SN Ia","0.107","1"
"PTF09jw","2009fg","193.598873","56.732591","SN Ia","0.154","1"
"PTF09k","2009cg","186.57435","48.447092","SN Ia","0.187","1"
"PTF09pr",NULL,"223.991635","47.212915","SN Ia","0.031","1"
"PTF09pz",NULL,"266.609912","53.319198","SN Ia","0.09","1"
"PTF09qa",NULL,"238.366362","55.446531","SN Ia","0.18","1"
"PTF09ql",NULL,"244.814014","60.402124","SN Ia","0.16","1"
"PTF09qn",NULL,"238.931937","64.017504","SN Ia","0.0634","1"
"PTF09qs",NULL,"249.604949","65.178135","SN Ia","0.17","1"
"PTF09ri",NULL,"251.35666","63.071836","SN Ia","0.08","1"
"PTF09s","2009bf","181.715268","26.960214","SN Ia","0.05","1"
"PTF09sg",NULL,"203.871082","33.005594","SN Ia","0.0453","1"
"PTF09si",NULL,"241.041463","42.890875","SN Ia","0.038","1"
"PTF09sj","2009fl","246.292163","40.889151","SN Ia","0.03","3"
"PTF09tt",NULL,"214.861231","57.85299","SN Ia","0.15","1"
"PTF09ty",NULL,"233.435491","73.500731","SN Ia","0.14","1"
"PTF09u","2009bi","217.415039","39.159028","SN Ia","0.126","1"
"PTF09up",NULL,"239.382917","67.502122","SN Ia","0.23","1"
"PTF09uu",NULL,"211.943502","74.724451","SN Ia","0.16","1"
"PTF09uv",NULL,"253.318875","75.225695","SN Ia","0.16","1"
"PTF09v","2009bg","201.793929","31.50876","SN Ia","0.119","1"
"PTF09vm",NULL,"223.905979","71.075753","SN Ia","0.12","0"
"PTF09vv",NULL,"263.382136","77.197613","SN Ia","0.1","1"
"PTF09vx",NULL,"213.630935","76.77353","SN Ia","0.0917","0"
"PTF09wa",NULL,"222.667369","32.270088","SN Ia","0.09","1"
"PTF09wn",NULL,"219.20581","24.267435","SN Ia","0.1336","1"
"PTF09wu",NULL,"222.900572","34.981459","SN Ia","0.175","1"
"PTF10aaea",NULL,"351.847586","7.989021","SN Ia","0.16","1"
"PTF10aaey",NULL,"39.654895","22.056594","SN Ia","0.106","2"
"PTF10aagd",NULL,"127.121068","21.12624","SN Ia","0.11","1"
"PTF10aaiw",NULL,"17.338134","15.735881","SN Ia","0.06","3"
"PTF10aaju",NULL,"161.553677","13.647916","SN Ia","0.078","1"
"PTF10aajv",NULL,"147.18434","1.532675","SN Ia","0.0638","1"
"PTF10aav",NULL,"101.702448","80.718004","SN Ia","0.18","1"
"PTF10aawe",NULL,"185.410335","58.501687","SN Ia","0.033","2"
"PTF10aawn",NULL,"33.068495","-6.370481","SN Ia","0.06","1"
"PTF10aayn",NULL,"51.140934","-29.287425","SN Ia","0.11","1"
"PTF10aayx",NULL,"70.783009","-4.726213","SN Ia","0.11","1"
"PTF10abbi",NULL,"42.393472","-3.32859","SN Ia","0.072","1"
"PTF10abhm",NULL,"200.950551","43.30143","SN Ia","0.027","1"
"PTF10abjm",NULL,"23.171613","34.635736","SN Ia","0.04975","2"
"PTF10abjp",NULL,"160.812435","51.554608","SN Ia","0.11","2"
"PTF10abjv",NULL,"22.212466","8.28006","SN Ia","0.076","1"
"PTF10abkt",NULL,"27.729336","12.550092","SN Ia","0.026","1"
"PTF10abnr",NULL,"346.807444","19.105386","SN Ia","0.04","1"
"PTF10abou",NULL,"40.300206","39.453404","SN Ia","0.135","1"
"PTF10abpj",NULL,"38.738819","39.9851","SN Ia","0.151","1"
"PTF10absa",NULL,"41.037782","-0.634833","SN Ia","0.168","1"
"PTF10abtp",NULL,"5.014788","-5.636064","SN Ia","0.148","1"
"PTF10abws",NULL,"133.70957","33.810784","SN Ia","0.125","1"
"PTF10abwy",NULL,"33.670888","15.291992","SN Ia","0.078","1"
"PTF10abwz",NULL,"344.83133","15.273588","SN Ia","0.21","1"
"PTF10abxa",NULL,"53.628552","-27.320655","SN Ia","0.11","1"
"PTF10abyo",NULL,"345.219584","-21.458653","SN Ia","0.145","1"
"PTF10abzt",NULL,"93.39479","-21.53267","SN Ia","0.13","1"
"PTF10accd",NULL,"33.376704","46.693676","SN Ia","0.031","2"
"PTF10accm",NULL,"40.137662","-8.361051","SN Ia","0.13115","1"
"PTF10acdc",NULL,"155.108464","21.479655","SN Ia","0.125","1"
"PTF10acdd",NULL,"172.465701","14.900123","SN Ia","0.1606","1"
"PTF10acdh",NULL,"145.781569","9.658695","SN Ia","0.0595","2"
"PTF10ace",NULL,"184.896751","5.348184","SN Ia","0.102","1"
"PTF10acej",NULL,"171.76738","16.58069","SN Ia","0.08","1"
"PTF10acem",NULL,"132.29571","32.954","SN Ia","0.06","1"
"PTF10acfh",NULL,"179.6085","26.29164","SN Ia","0.11","1"
"PTF10acgk",NULL,"103.36246","34.23517","SN Ia","0.092","1"
"PTF10acnz",NULL,"176.24446","58.66175","SN Ia","0.062","2"
"PTF10acoh",NULL,"171.89621","54.88336","SN Ia","0.1449","1"
"PTF10acqp",NULL,"115.64517","65.39764","SN Ia","0.17","1"
"PTF10acqt",NULL,"228.25258","55.02872","SN Ia","0.1283","1"
"PTF10acqu",NULL,"202.62088","31.84967","SN Ia","0.2","1"
"PTF10acrh",NULL,"165.3995","45.47764","SN Ia","0.14","1"
"PTF10acri",NULL,"137.17829","17.44586","SN Ia","0.109","1"
"PTF10acro",NULL,"11.60017","-0.01208","SN Ia","0.0993","1"
"PTF10acrp",NULL,"24.97863","29.88689","SN Ia","0.16","1"
"PTF10acrx",NULL,"40.07233","40.64306","SN Ia","0.1336","1"
"PTF10acts",NULL,"136.445","17.36694","SN Ia","0.066154","1"
"PTF10acub",NULL,"145.91467","8.89722","SN Ia","0.138","1"
"PTF10ban",NULL,"152.579522","47.318971","SN Ia","0.18","1"
"PTF10bao",NULL,"124.449833","20.704708","SN Ia","0.098","1"
"PTF10bbn",NULL,"227.974416","55.143636","SN Ia","0.115","1"
"PTF10bbo",NULL,"211.3248","8.795191","SN Ia","0.15","1"
"PTF10bch",NULL,"212.488168","7.954059","SN Ia","0.17","1"
"PTF10bci",NULL,"179.202475","56.673317","SN Ia","0.118","1"
"PTF10bdr",NULL,"94.095567","-22.010897","SN Ia","0.1268","1"
"PTF10bfg",NULL,"198.598745","38.367564","SN Ia","0.07","1"
"PTF10bhm",NULL,"155.56664","46.035193","SN Ia","0.15","1"
"PTF10bhw",NULL,"212.479712","8.849363","SN Ia","0.11","1"
"PTF10bhy",NULL,"171.048926","17.586731","SN Ia","0.115","1"
"PTF10bin",NULL,"230.150483","-12.469113","SN Ia","0.105","1"
"PTF10bix",NULL,"240.050941","59.452744","SN Ia","0.079","1"
"PTF10bjg",NULL,"154.392902","46.932662","SN Ia","0.17","1"
"PTF10bji",NULL,"169.828174","14.786049","SN Ia","0.16","1"
"PTF10bjs",NULL,"195.296789","53.81592","SN Ia","0.0296","5"
"PTF10bmr",NULL,"212.873488","-4.546522","SN Ia","0.1447","1"
"PTF10bt","2010B","208.536507","60.680669","SN Ia","0.01","5"
"PTF10bvw",NULL,"175.709915","19.429139","SN Ia","0.082","0"
"PTF10bxs",NULL,"164.685279","32.452411","SN Ia","0.072","1"
"PTF10bym",NULL,"183.101408","13.716577","SN Ia","0.14","1"
"PTF10cko",NULL,"182.814048","13.733754","SN Ia","0.07","1"
"PTF10clw",NULL,"189.544292","14.055123","SN Ia","0.115","1"
"PTF10cmj",NULL,"191.086948","18.274199","SN Ia","0.111","1"
"PTF10cmt",NULL,"196.289673","21.314864","SN Ia","0.18","1"
"PTF10cod",NULL,"225.676528","-1.709486","SN Ia","0.12","1"
"PTF10coh",NULL,"223.964766","-5.686747","SN Ia","0.14","1"
"PTF10cq",NULL,"85.916455","15.397943","SN Ia","0.093","1"
"PTF10cu",NULL,"166.011337","46.07144","SN Ia","0.062","2"
"PTF10cua",NULL,"245.007197","54.407396","SN Ia","0.21","1"
"PTF10cwm",NULL,"188.230866","4.48647","SN Ia","0.08","1"
"PTF10cwp",NULL,"179.661208","-0.560854","SN Ia","0.095","1"
"PTF10cwy",NULL,"230.486908","41.498575","SN Ia","0.066","1"
"PTF10cwz",NULL,"79.86374","5.323052","SN Ia","0.07","1"
"PTF10cxk","2010ai","194.85","27.996528","SN Ia","0.014","2"
"PTF10cza",NULL,"227.030432","54.66902","SN Ia","0.14","2"
"PTF10czb",NULL,"211.611319","9.097462","SN Ia","0.157","1"
"PTF10czc",NULL,"139.601253","49.961429","SN Ia","0.1084","1"
"PTF10czg",NULL,"226.637087","56.193467","SN Ia","0.195","1"
"PTF10dal","2010ax","220.472562","10.75013","SN Ia","0.046","2"
"PTF10ddv",NULL,"125.206622","20.544975","SN Ia","0.115","1"
"PTF10djf",NULL,"181.710087","0.886012","SN Ia","0.12","1"
"PTF10dna",NULL,"253.357796","21.251273","SN Ia","0.031","2"
"PTF10duy",NULL,"209.296115","40.163303","SN Ia","0.079","1"
"PTF10duz",NULL,"192.91459","14.438539","SN Ia","0.06","1"
"PTF10ef",NULL,"29.970895","46.346146","SN Ia","0.12","4"
"PTF10egs",NULL,"146.110901","22.702866","SN Ia","0.1276","1"
"PTF10elk",NULL,"107.97513","49.826899","SN Ia","0.065","1"
"PTF10eov",NULL,"210.402607","5.455502","SN Ia","0.21","2"
"PTF10eqf",NULL,"204.532264","58.30845","SN Ia","0.055","1"
"PTF10esx",NULL,"231.182165","69.308364","SN Ia","0.035","1"
"PTF10fe",NULL,"175.859356","21.344033","SN Ia","0.18","1"
"PTF10feg",NULL,"187.648663","15.794133","SN Ia","0.115","1"
"PTF10fej",NULL,"241.580482","53.921347","SN Ia","0.11","1"
"PTF10fhb",NULL,"154.251248","45.513393","SN Ia","0.103","1"
"PTF10fhu",NULL,"187.037816","18.040412","SN Ia","0.154","1"
"PTF10fhy",NULL,"191.14914","8.757993","SN Ia","0.09","1"
"PTF10fj",NULL,"195.996462","38.199759","SN Ia","0.05","1"
"PTF10fjg",NULL,"190.308115","45.915996","SN Ia","0.077","2"
