SN Name,Type,Redshift
SN2014a,IIP,0.005811
SN2014ad,Ic-BL,0.005723
SN2014ai,Ia,0.023176
SN2014ao,Ia,0.014083
SN2014ap,Ia,0.023516
SN2014as,Ic,0.012469
SN2014at,Ia,0.032242
SN2014ba,Ia-91bg,0.005841
SN2014bc,IIP,0.001494
SN2014bv,Ia,0.005594
SN2014c,Ib,0.0027
SN2014cd,Ia,0.020608
SN2014cn,II,0.012762
SN2014cp,Ic-BL,0.0162
SN2014cx,II,0.00549
SN2014df,Ib,0.003896
SN2014dg,Ia,0.004003
SN2014dt,Ia-02cx,0.005224
SN2014eg,Ia-91T,0.018633
SN2014eh,Ic,0.010207
SN2014ek,Ia-02cx,0.023126
SN2014es,IIn,0.019644
SN2014g,IIL,0.004503
SN2014gd,Ia,0.018283
SN2014ge,Ib,0.001891
SN2014gf,IIn/Ia-CSM,0.016
SN2014i,Ia,0.03
SN2014j,Ia,0.000677
SN2014l,Ic,0.008029
SN2014r,Ia,0.025
SN2015ah,Ib,0.016
SN2015ak,Ia,0.01037
SN2015an,IIP,0.008166
SN2015ap,Ib,0.011375
SN2015ar,Ia,0.017005
SN2015as,II,0.003646
SN2015bf,IIn,0.014227
SN2015bh,LBVgoneSN?,0.006494
SN2015bn,SLSN-I,0.11
SN2015bo,Ia-91bg,0.016195
SN2015bp,Ia-91bg,0.004069
SN2015bq,Ia-99aa,0.028
SN2015dc,Ia?,0.007562
SN2015dd,Ib,0.006
SN2015f,Ia,0.00489
SN2015g,Ibn,0.00475
SN2015i,Ia,0.0076
SN2015j,IIn,0.0054
SN2015m,Ia-91T,0.0231
SN2015n,Ia,0.01492
SN2015v,II,0.004566
SN2015z,IIn,0.028723
SN2016adi,Ia,0.015
SN2016adj,Ib,0.001825
SN2016aix,Ia-91T,0.029
SN2016aiy,IIn,0.01
SN2016aj,SLSN-I,0.485
SN2016ajf,Ia-91bg,0.0203
SN2016aps,SLSN-II?,0.265
SN2016aqf,II,0.004016
SN2016aqt,Ia-SC,0.05
SN2016arc,Ia ,0.012725
SN2016ard,SLSN-I,0.2025
SN2016asf,Ia,0.021
SN2016b,II,0.004293
SN2016bau,Ib,0.003856
SN2016bfu,Ia-91bg,0.0104
SN2016bfv,II,0.0104
SN2016blc,Ia,0.012
SN2016blk,Iapec,0.02997
SN2016bln,Ia-91T/99aa,0.0235
SN2016blz,II,0.012
SN2016bmd,IIb,
SN2016bqs,Ia,0.032916
SN2016c,IIP,0.00452
SN2016ccj,Ia-SC,0.041
SN2016ccz,Ia,0.015
SN2016cnx,Ia,0.029444
SN2016coi,Ic-BL,0.003646
SN2016coj,Ia,0.004483
SN2016cok,IIP,0.002425
SN2016cqj,II,0.022
SN2016cvk,IIn,0.010783
SN2016daj,Ia,0.032
SN2016dxv,Ia,0.02
SN2016eay,SLSN-I,0.102
SN2016eii,Ia,0.036
SN2016eiy,Ia,0.008663
SN2016eja,Ia,0.04
SN2016ekg,Ia,0.017
SN2016ekt,Ia,0.017
SN2016els,SLSN-I,0.217
SN2016enk,IIP,0.0078
SN2016eoa,Ia,0.020771
SN2016euj,Ia,0.017
SN2016ezh,TDE,0.08
SN2016f,Ia,0.016138
SN2016fej,Ia,0.010914
SN2016fff,Ia,0.01144
SN2016frp,Â Ib-pec,0.027
SN2016g,Ic-BL,0.009
SN2016gfr,Ia,0.014
SN2016gfy,II,0.008
SN2016gkg,II,0.00494
SN2016gsb,Ia,0.0097
SN2016gxp,Ia-pec,0.018
SN2016hgm,II,0.008
SN2016hht,Ia,0.019
SN2016hli,Ia,0.017
SN2016hnk,Ia-91bg,0.016
SN2016hpw,Ia,0.02
SN2016hrv,II,0.0166
SN2016hsc,Ia,0.006
SN2016huh,Ia,0.018556
SN2016hvl,Ia-91T,0.013
SN2016iae,Ic,0.003468
SN2016ieq,IIn,0.066
SN2016iet, I,
SN2016igr,Ia,0.018
SN2016ija,II,0.003468
SN2016iog,II,
SN2016ipf,Ia,0.021
SN2016itd,Ia,0.0175
SN2016ito,Ia,0.0199
SN2016iuh,Ia-91bg-like,0.013696
SN2016iyd, II,0.034
SN2016iyz,II,0.0104
SN2016jag,,
SN2016jbu,imposter?,0.00489
SN2016l,IIP,0.009297
SN2016p,Ic-BL,0.0146
SN2016x,IIP,0.004408
SN2016zd, Ia,
SN2017ahn,II,0.009255
SN2017ati,IIb,0.016
SN2017atv,Ia,0.0185
SN2017aut,Ia,0.017
SN2017awk,Ia,0.018056
SN2017awz,Ia-91T-like,0.022
SN2017azw,Ia,0.02
SN2017bc, Ia        ,0.027
SN2017bcc,SLSN-II,0.148
SN2017bgu,Ib,0.008
SN2017bkc,Ia,0.017
SN2017bzc,Ia,0.005365
SN2017cak,,
SN2017cbr,Ia,0.0173
SN2017cbv,Ia-99aa,0.003999
SN2017cfd,Ia,0.012085
SN2017cjb,II,0.0094
SN2017ckq,Ia,0.01
SN2017cyy,Ia,0.0098
SN2017cze,Ia,0.015
SN2017czw,,
SN2017daf,Ia,0.019
SN2017dau,LBV,0.01062
SN2017dcc,Ic-BL,0.043
SN2017dei,Ia,0.019804
SN2017des,,0.007
SN2017dgm,Ia,0.018
SN2017dit,Ia,0.01859
SN2017dps,Ia,0.012
SN2017drh,Ia,0.005554
SN2017dwh,SL-I,
SN2017dwq,IIn,0.018
SN2017dzs,Ia-91bg-like,0.0173
SN2017eaw,II,0.000133
SN2017ebm,Ia-91bg,0.016732
SN2017egb,Ia,0.016151
SN2017egm,SLSN-I,0.0307
SN2017ein,Ic,0.0027
SN2017ejb,Ia-91bg-like,0.009867
SN2017ekr,Ia,0.019
SN2017emq,Ia,0.005247
SN2017ens,,
SN2017enx,,0.006398
SN2017eoc,,0.018688
SN2017eqx,,
SN2017erp,Ia,0.006174
SN2017err,,
SN2017erv,Ia,0.017035
SN2017evn,Ia,0.017
SN2017exo,Ia,0.016
SN2017ezd,Ia,0.018
SN2017faa,II,0.01845
SN2017faf,SLSN-II,0.0295
SN2017ffv,Ia,0.014
SN2017fgc,Ia,0.008
SN2017fhm,,
SN2017fvl,Ia,0.014
SN2017fzw,Ia-91bg,0.0054
SN2017gah,Ia,0.008906
SN2017gas,IIn,0.01
SN2017gax,Ib/c,0.0044
SN2017gbb,Iax,0.01
SN2017gci,SLSN-I,0.09
SN2017ghs,Unk,0.018
SN2017gjn,Ia,0.015
SN2017gkk,IIb,0.004923
SN2017glq,Ia,0.012
SN2017glx,Ia-91T,0.011
SN2017gmr, II,
SN2017gpn,IIb,0.007
SN2017gry,II,0.019
SN2017guh, Ia,
SN2017gup,Ia,0.0235
SN2017gxq,Ia,0.008406
SN2017hbj,II,0.017422
SN2017hcc, IIn,
SN2017hgz, Ia,
SN2017hjw,Ia,0.016161
SN2017hjy,Ia,0.007
SN2017hle,Ia-91bg,0.015701
SN2017hm,Ia,0.021
SN2017hoq,Ia,0.02
SN2017hou,Ia,0.016738
SN2017hpa,Ia,0.015654
SN2017igf, Ia,
SN2017iji, Ia,
SN2017it, II,
SN2017ivu,IIP,0.006528
SN2017iyb,Ia,0.010108
SN2017izu,Ia,0.016915
SN2017jav,Ia,0.01517
SN2017jbj,CC,0.013492
SN2017jd,Ia,0.007368
SN2017jl,Ia,0.016331
SN2017jmk,II,0.00947
SN2017kdz,Ia,0.0164
SN2017lf,Ia,0.01464
SN2017ln,Ia	,0.025
SN2017yv,Ia,0.015584
SN2018aad, II-pec,
SN2018add,,
SN2018afm,II?,0.016291
SN2018ahz,AGN,
SN2018aoz,Ia,0.005801
SN2018atq,SL-II,
SN2018avk, Ic,
SN2018bbl,,
SN2018bek, II,
SN2018bgv,SL-I,
SN2018bi,Ia,0.01668
SN2018bsk,,
SN2018bsz,SLSN,
SN2018bta, Ia,
SN2018bto,,
SN2018bvt,,
SN2018bwo,LRN,
SN2018cmi,,
SN2018cni, Ia-pec,
SN2018co,,
SN2018cow, Ic-BL,
SN2018cuf,II,
SN2018dfg, II,
SN2018dfy, IIP,
SN2018evk, II,
SN2018evt,Ia-91T-CSM,
SN2018feb, Ia,
SN2018fek?,,
SN2018feq,Ia-91T-like,
SN2018fes,,
SN2018fhw,Ia,
SN2018fvz,,
SN2018fyk,TDE,
SN2018gep, Ic-BL,
SN2018get, II,
SN2018gj,IIb,0.004543
SN2018gk,II,0.031
SN2018gn, II,
SN2018gro,Ia-91bg-like,
SN2018gv,Ia,0.005274
SN2018gwo, Ib-Ca-rich,
SN2018hfm,,
SN2018hkx, Ia,
SN2018hmx, II,
SN2018hna,II-87A,
SN2018hpu, Ia,
SN2018hrg,Nova,
SN2018hso,IIn,
SN2018hti,SLSN-I,0.06
SN2018htr,LBV,
SN2018hxf,,
SN2018ibb,SLSNI,0.1586
SN2018ilu,Ia,
SN2018imf,II,
SN2018is,II,0.005811
SN2018isq, Ia,
SN2018ivc,,
SN2018jag,Ia-91bg-like,
SN2018jky, Ia,
SN2018jov, Ia,
SN2018kp,Ia,0.010142
SN2018kpo, II,
SN2018kzr, Ic,
SN2018lab,,
SN2018lei, Ic,
SN2018oh, Ia,
SN2018pc,Ia,0.009
SN2018pv,Ia,0.003102
SN2018xx,Ia,0.00999
SN2018yu,Ia,0.008112
SN2018zd,IIn,0.002979
SN2018zr,TDE,
SN2018zz,Ia,0.013763
SN2019abn,ILRT,
SN2019ahd,LBV,
SN2019arb, Ia,
SN2019ata, Ia,
SN2019bl,,
SN2019bm,,
SN2019cad, Ic,
SN2019cca,SLSN-I,0.4
SN2019cqc,SLSN-I,0.118
SN2019edo, II,
SN2019edo_dup, II,
SN2019eez_dup,,
SN2019ehk, Ib,
SN2019ehk_dup,Ib,0.0043
SN2019ein, Ia,
SN2019enr, II,
SN2019enz,SLSN-I,0.22
SN2019esa, IIn,
SN2019fxy,,
SN2019gaf, IIb,
SN2019gbx, Ia,
SN2019gte,TDE,
SN2019hcc,SL-I,
SN2019hge,SL-I,
SN2019jyw, II,
SN2019kbj, II,
SN2019kf, Ia,
SN2019lsm, Ibn,
SN2019muj,Iax,
SN2019njv, IIn,
SN2019np, Ia,
SN2019nvm, II,
SN2019nyk, II,
SN2019odf, II,
SN2019odp, Ic-BL,
SN2019oet,LBV,
SN2019ofc, II,
SN2019ovr, II,
SN2019oys, Ib,
SN2019pjs, II,
SN2019rn, IIb,
SN2019rz, IIn,
SN2019tua, II,
SN2019vrq,Ia-91T-like,
SN2019vxm, II,
SN2019wbg,LBV,
SN2019wep, II-pec,
SN2019xdf, II,
SN2019xtw, II,
SN2019yv,Galaxy,
SN2019yvq, Ia,
SN2019yz, Ic,
SN2020aatc, Ia,
SN2020abjq,,
SN2020able, Ic,
SN2020aboh,,
SN2020abtf, II,
SN2020acat, IIb,
SN2020acct, IIn,
SN2020acma, Ia,
SN2020adow, Ic,
SN2020akf,Ia-91T-like,
SN2020aqe, II,
SN2020big, Ibn,
SN2020bio,,
SN2020bpi, Ia,
SN2020bvc, Ic-BL,
SN2020cui, IIn,
SN2020cwd, Ibn,
SN2020dhj, Ia,
SN2020dpw,,
SN2020dul, Ia,
SN2020ees, Ia,
SN2020ekk, II,
SN2020fxa, Ia,
SN2020hvf, Ia,
SN2020hvp, Ib,
SN2020jdo, Ia,
SN2020jfo, II,
SN2020jgl, Ia,
SN2020kpx, Ia,
SN2020kyg,Iax[02cx-like],
SN2020kyx, Ia,
SN2020lil, Ia,
SN2020llx, II,
SN2020mjm, II,
SN2020mr,,
SN2020nlb, Ia,
SN2020nta,Ia-91bg-like,
SN2020nvb, Ia,
SN2020nxt,Ibn,
SN2020pjj, Ia-pec,
SN2020pni, II,
SN2020pst, Ia,
SN2020pvb, IIn,
SN2020qic, Ia,
SN2020rgz, Ia,
SN2020rlj, Ia,
SN2020roj,,
SN2020rte,,
SN2020scq,,
SN2020szr, Ia,
SN2020tcw,SL-I,
SN2020tkp, Ia,
SN2020tlf,,
SN2020tug, Ia,
SN2020uew,SL-I,
SN2020uxz, Ia,
SN2020uzq, II,
SN2020vg, II,
SN2020wtq, Ia,
SN2020xua, II,
SN2020xys,Other,
SN2020xyw, Ia,
SN2020yvu, Ia,
SN2020yzo, II,
SN2020zbf,SL-I,
SN2020zgl, Ib-pec,
SN2020znr,SL-I,
SN2020zoq, II,
SN2020zpi, Ia,
SN2020zso,TDE,
SN2021aadc,SLSN-II,
SN2021aai,,
SN2021acya,Iin,
SN2021ads,,
SN2021afkk,II,
SN2021afuq,Ic,
SN2021afur,Ia-91bg,
SN2021arg,,
SN2021ass,,
SN2021bhd,,
SN2021blu,,
SN2021blz,,
SN2021bmx,,
SN2021bug,,
SN2021cgu,,
SN2021cwc,,
SN2021dms,,
SN2021dnm,,
SN2021do,,
SN2021dov,,
SN2021dzv,,
SN2021ek,,
SN2021fmu,,
SN2021foa,,
SN2021fxy,,
SN2021ghc,,
SN2021gma,Ia,
SN2021gmj,,
SN2021gno,,
SN2021haz,,
SN2021hen,,
SN2021hiz,,
SN2021hku,,
SN2021hpr,,
SN2021hus,,
SN2021ifa,,
SN2021iyt,,
SN2021j,,
SN2021jag,,
SN2021jbl,,
SN2021jpk,,
SN2021jtt,,
SN2021jwr,,
SN2021k,,
SN2021kgj,,
SN2021kgk,,
SN2021kqp,,
SN2021kyv,,
SN2021loi,,
SN2021lwz,,
SN2021lxb,,
SN2021mim,Ia-91bg,
SN2021mnj,,
SN2021mqh,,
SN2021mwj,,
SN2021mxx,,
SN2021oat,,
SN2021ont,,
SN2021pb,,
SN2021pfs,,
SN2021pit,,
SN2021qvr,,
SN2021qvv,,
SN2021qvw,,
SN2021qyy,,
SN2021rhu,,
SN2021sjt,,
SN2021skf,,
SN2021smj,,
SN2021twv,,
SN2021ucg,,
SN2021uds,,
SN2021uhk,,
SN2021ukt,,
SN2021uoy,,
SN2021uqw,,
SN2021uyc,,
SN2021vaz,,
SN2021wvd,,
SN2021xbg,,
SN2021xju,,
SN2021ybc,,
SN2021yja,,
SN2021yky,II,
SN2021ysx,,
SN2021yyg,,
SN2021zet,,
SNf20080514002,Ia,0.0221
SNf20080720001,Ia,0.021
SNhunt248,IIn?,0.0045
SNhunt60,IIb,0.033893
SNinngc2196,Ic,0.00775
SNinngc7123,Ia,0.012335
SNinpgc2086067,,
iPTF13dge,Ia,0.015854
iPTF13ebh,Ia,0.013269
iPTF14atg,Ia,0.021405
iPTF14bdn,Ia-99aa,0.01588
iPTF14hls,II-wierdo,
iPTF16eh,SLSN-I,
