HostName_SNname_SNra_SNdec,template_status,
AGC311171_SN2021uqw,'21:53:59.429,+06:41:51.04
Anon_2021agbn,03:57:12.850 ,-25:24:12.17
Anon_SN2018jov,'08:00:07.140,+58:42:34.95
Anon_SN2019enz,'13:57:06.098,+27:59:38.71
Anon_SN2020able,'09:26:02.258,+24:31:17.83
Anon_SN2020abtf,'07:59:34.483,+15:18:00.02
Anon_SN2020acat,'11:50:41.209,-10:13:38.72
Anon_SN2020acct,'09:44:56.060,+31:05:45.77
Anon_SN2020pvb,'20:53:53.032,-25:28:26.09
Anon_SN2020scq,'02:43:52.809,-00:37:06.96
Anon_SN2020tcw,'15:28:17.096,+39:56:50.50
Anon_SN2020tkp,'23:58:10.587,+22:46:12.47
Anon_SN2020tug,'23:59:27.892,+17:51:54.73
Anon_SN2020wtq,'01:13:08.093,+28:40:37.13
Anon_SN2020yvu,'23:00:59.870,+40:54:38.16
Anon_SN2020zbf,'01:58:01.671,-41:20:51.84
Anon_SN2020znr,'07:19:06.423,+23:53:07.32
Anon_SN2021aadc,00:04:32.666,+19:45:41.18
Anon_SN2021acya,04:02:13.760,-28:23:29.72
Anon_SN2021afkk,02:29:59.968,+28:38:03.07
Anon_SN2021afuq,10:27:52.150,-43:54:07.17
Anon_SN2021afur,10:22:12.998,+17:51:40.41
Anon_SN2021arg,'04:31:18.787,-10:23:46.85
Anon_SN2021dnm,'12:37:24.215,+23:05:36.75
Anon_SN2021ek,'03:23:49.900,-10:02:41.24
Anon_SN2021fmu,'10:31:56.235,-15:57:19.62
Anon_SN2021ghc,'09:56:32.994,+00:45:08.24
Anon_SN2021gma,'16:05:27.778,+57:57:28.40
Anon_SN2021hen,'13:07:43.886,+24:48:37.91
Anon_SN2021iyt,'10:18:44.414,+00:03:19.37
Anon_SN2021jpk,'14:39:00.025,+12:40:10.02
Anon_SN2021kyv,'14:27:55.288,+33:00:07.48
Anon_SN2021lwz,'09:44:47.386,+34:42:44.21
Anon_SN2021mim,15:40:21.365,+07:16:53.50
Anon_SN2021pb,'09:44:46.816,+51:41:14.62
Anon_SN2021uhk,'23:26:13.598,+01:08:43.92
Anon_SN2021uyc,'21:56:45.345,+27:54:18.11
Anon_SN2021wvd,'15:10:34.963,+13:27:30.43
Anon_SN2021yky,01:07:50.224 ,+27:18:53.28
CGCG005-038_SN2021dov,'08:56:18.711,-00:26:31.70
CGCG038-099_SN2021cgu,'11:03:03.709,+05:05:53.41
CGCG388-092_SN2020zpi,'02:40:20.453,-01:26:48.70
CGCG453-026_SN2021uoy,'22:55:37.453,+19:10:25.79
ESO186-G37_SN2021xju,'20:22:31.064,-53:16:43.89
ESO317-G6_SN2021bmx,'10:14:50.246,-38:11:29.90
ESO34-G12_SN2020yzo,'06:43:32.096,-72:35:25.53
ESO35-G18_SN2019esa,'07:55:00.889,-76:24:43.11
ESO437-G19_SN2020acma,'10:37:57.860,-28:54:30.78
FGC0286_SN2021xbg,'02:23:56.453,-06:42:03.75
IC2200A_SN2020xyw,'07:28:07.980,-62:21:28.95
IC3322A_SN2021hiz,'12:25:41.670,+07:13:42.20
IC863_SN2021foa,'13:17:12.354,-17:15:25.77
KUG0226-049_SN2021ybc,'02:29:19.030,-04:40:54.36
KUG0830+278_SN2020adow,'08:33:42.266,+27:42:43.83
LEDA134344_SN2021zet,'21:52:13.342,-23:22:37.16
MCG-01-30-21_SN2021mqh,'11:39:50.471,-07:36:26.60
MCG-02-08-07_SN2020aatc,'02:48:16.430,-10:15:07.52
MCG-02-14-10_SN2021yyg,'05:16:21.033,-13:28:39.97
MCG-02-60-01_SN2020uzq,'23:34:00.199,-11:46:59.21
MCG+06-30-84_SN2021K,'13:47:10.693,+34:05:21.34
MRK1131_SN2020zgl,'23:28:01.143,-02:09:53.61
NGC1325_SN2021yja,'03:24:21.174,-21:33:56.19
NGC1448_SN2021pit,'03:44:30.206,-44:37:57.25
NGC1961_SN2021vaz,'05:42:01.716,+69:22:36.73
NGC2268_SN2021aai,'07:14:26.861,+84:22:51.45
NGC2799_SN2020aboh,'09:17:31.764,+41:59:34.01
NGC2935_SN2021mwj,'09:36:41.790,-21:08:47.10
NGC2955_SN2021jtt,'09:41:16.452,+35:53:02.53
NGC3147_SN2021do,'10:16:56.667,+73:23:51.29
NGC3147_SN2021hpr,'10:16:38.619,+73:24:01.79
NGC3310_SN2021gmj,'10:38:47.275,+53:30:30.36
NGC4108_SN2021jag,'12:06:44.981,+67:09:53.83
NGC4162_SN2019edo,'12:11:51.566,+24:08:11.67
NGC4165_SN2021gno,'12:12:10.290,+13:14:57.05
NGC4411b_SN2021smj,'12:26:46.555,+08:52:57.61
NGC4414_SN2021J,'12:26:27.015,+31:13:20.57
NGC4442_SN2021qvv,'12:28:02.917,+09:48:10.26
NGC4533_SN2021bug,'12:34:22.753,+02:19:02.11
NGC4777_SN2021skf,'12:53:57.350,-08:46:14.77
NGC4895A_SN2021oat,'13:00:08.260,+28:10:13.11
NGC4927_SN2021lxb,'13:01:58.649,+28:00:30.85
NGC5018_SN2021fxy,'13:13:01.571,-19:30:45.18
NGC514_SN2020uxz,'01:24:06.890,+12:55:17.26
NGC5215_SN2021ads,'13:35:07.549,-33:28:59.47
NGC5353_SN2019ein,'13:53:29.134,+40:16:31.40
NGC5427_SN2021pfs,'14:03:23.584,-06:01:53.90
NGC5731_SN2020tlf,'14:40:10.034,+42:46:39.64
NGC5754_SN2021mnj,'14:45:20.589,+38:44:18.57
NGC684_SN2021ass,'01:50:10.128,+27:38:42.79
NGC6951_SN2021sjt,'20:37:19.202,+66:06:23.10
NGC7678_SN2021qvr,'23:28:26.651,+22:25:11.89
NGC7814_SN2021rhu,'00:03:15.429,+16:08:44.51
UGC11380_SN2021mxx,'18:56:51.275,+36:37:20.38
UGC12188_SN2021ucg,'22:47:37.657,+39:52:59.41
UGC12218_SN2020xua,'22:51:22.175,+32:21:04.93
UGC12395_SN2020szr,'23:09:33.094,+15:39:33.38
UGC3502_SN2021cwc,'06:39:46.831,+65:27:07.40
UGC505_SN2021ukt,'00:49:24.860,-01:45:58.82
UGC5760_SN2020zoq,'10:36:21.573,+13:43:07.36
UGC6711_SN2021qyy,'11:44:29.664,+69:43:45.44
UGC678_SN2020abjq,'01:06:14.630,+03:34:26.08
UGC8737_SN2021bhd,'13:48:14.697,+68:05:23.21
UGC9684_SN2020pni,'15:03:49.964,+42:06:50.52
WISEAJ00-63_SN2021uds,'00:10:43.936,-63:06:03.56